position	page_id	cell_ordinal	cell_id	damage_class	level	lighting	sequence	q	payload_id	lineage	profile	template	master_path	master_sha256	scheduled_slot_1	scheduled_slot_2	scheduled_slot_3
081	P1-c13-S13-q02-T0-Rs80_60-T	13	fade-2-S13	fade	2	std	S13	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c13-S13-q02-T0-Rs80_60-T-A01	P1-c13-S13-q02-T0-Rs80_60-T-A02	P1-c13-S13-q02-T0-Rs80_60-T-A03
082	P1-c13-S13-q09-T3-Rs72_60-R	13	fade-2-S13	fade	2	std	S13	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c13-S13-q09-T3-Rs72_60-R-A01	P1-c13-S13-q09-T3-Rs72_60-R-A02	P1-c13-S13-q09-T3-Rs72_60-R-A03
083	P1-c13-S13-q10-T3-Rs76_60-T	13	fade-2-S13	fade	2	std	S13	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c13-S13-q10-T3-Rs76_60-T-A01	P1-c13-S13-q10-T3-Rs76_60-T-A02	P1-c13-S13-q10-T3-Rs76_60-T-A03
084	P1-c13-S13-q11-T3-Rs80_60-R	13	fade-2-S13	fade	2	std	S13	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c13-S13-q11-T3-Rs80_60-R-A01	P1-c13-S13-q11-T3-Rs80_60-R-A02	P1-c13-S13-q11-T3-Rs80_60-R-A03
085	P1-c14-S14-q00-T0-Rs72_60-R	14	fade-3-S14	fade	3	std	S14	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c14-S14-q00-T0-Rs72_60-R-A01	P1-c14-S14-q00-T0-Rs72_60-R-A02	P1-c14-S14-q00-T0-Rs72_60-R-A03
086	P1-c14-S14-q01-T0-Rs76_60-T	14	fade-3-S14	fade	3	std	S14	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c14-S14-q01-T0-Rs76_60-T-A01	P1-c14-S14-q01-T0-Rs76_60-T-A02	P1-c14-S14-q01-T0-Rs76_60-T-A03
087	P1-c14-S14-q02-T0-Rs80_60-R	14	fade-3-S14	fade	3	std	S14	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c14-S14-q02-T0-Rs80_60-R-A01	P1-c14-S14-q02-T0-Rs80_60-R-A02	P1-c14-S14-q02-T0-Rs80_60-R-A03
088	P1-c14-S14-q09-T3-Rs72_60-T	14	fade-3-S14	fade	3	std	S14	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c14-S14-q09-T3-Rs72_60-T-A01	P1-c14-S14-q09-T3-Rs72_60-T-A02	P1-c14-S14-q09-T3-Rs72_60-T-A03
089	P1-c14-S14-q10-T3-Rs76_60-R	14	fade-3-S14	fade	3	std	S14	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c14-S14-q10-T3-Rs76_60-R-A01	P1-c14-S14-q10-T3-Rs76_60-R-A02	P1-c14-S14-q10-T3-Rs76_60-R-A03
090	P1-c14-S14-q11-T3-Rs80_60-T	14	fade-3-S14	fade	3	std	S14	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c14-S14-q11-T3-Rs80_60-T-A01	P1-c14-S14-q11-T3-Rs80_60-T-A02	P1-c14-S14-q11-T3-Rs80_60-T-A03
091	P1-c15-S18-q00-T0-Rs72_60-T	15	fold-1-S18	fold	1	std	S18	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c15-S18-q00-T0-Rs72_60-T-A01	P1-c15-S18-q00-T0-Rs72_60-T-A02	P1-c15-S18-q00-T0-Rs72_60-T-A03
092	P1-c15-S18-q01-T0-Rs76_60-R	15	fold-1-S18	fold	1	std	S18	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c15-S18-q01-T0-Rs76_60-R-A01	P1-c15-S18-q01-T0-Rs76_60-R-A02	P1-c15-S18-q01-T0-Rs76_60-R-A03
093	P1-c15-S18-q02-T0-Rs80_60-T	15	fold-1-S18	fold	1	std	S18	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c15-S18-q02-T0-Rs80_60-T-A01	P1-c15-S18-q02-T0-Rs80_60-T-A02	P1-c15-S18-q02-T0-Rs80_60-T-A03
094	P1-c15-S18-q09-T3-Rs72_60-R	15	fold-1-S18	fold	1	std	S18	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c15-S18-q09-T3-Rs72_60-R-A01	P1-c15-S18-q09-T3-Rs72_60-R-A02	P1-c15-S18-q09-T3-Rs72_60-R-A03
095	P1-c15-S18-q10-T3-Rs76_60-T	15	fold-1-S18	fold	1	std	S18	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c15-S18-q10-T3-Rs76_60-T-A01	P1-c15-S18-q10-T3-Rs76_60-T-A02	P1-c15-S18-q10-T3-Rs76_60-T-A03
096	P1-c15-S18-q11-T3-Rs80_60-R	15	fold-1-S18	fold	1	std	S18	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c15-S18-q11-T3-Rs80_60-R-A01	P1-c15-S18-q11-T3-Rs80_60-R-A02	P1-c15-S18-q11-T3-Rs80_60-R-A03
097	P1-c16-S19-q00-T0-Rs72_60-R	16	fold-2-S19	fold	2	std	S19	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c16-S19-q00-T0-Rs72_60-R-A01	P1-c16-S19-q00-T0-Rs72_60-R-A02	P1-c16-S19-q00-T0-Rs72_60-R-A03
098	P1-c16-S19-q01-T0-Rs76_60-T	16	fold-2-S19	fold	2	std	S19	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c16-S19-q01-T0-Rs76_60-T-A01	P1-c16-S19-q01-T0-Rs76_60-T-A02	P1-c16-S19-q01-T0-Rs76_60-T-A03
099	P1-c16-S19-q02-T0-Rs80_60-R	16	fold-2-S19	fold	2	std	S19	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c16-S19-q02-T0-Rs80_60-R-A01	P1-c16-S19-q02-T0-Rs80_60-R-A02	P1-c16-S19-q02-T0-Rs80_60-R-A03
100	P1-c16-S19-q09-T3-Rs72_60-T	16	fold-2-S19	fold	2	std	S19	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c16-S19-q09-T3-Rs72_60-T-A01	P1-c16-S19-q09-T3-Rs72_60-T-A02	P1-c16-S19-q09-T3-Rs72_60-T-A03
101	P1-c16-S19-q10-T3-Rs76_60-R	16	fold-2-S19	fold	2	std	S19	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c16-S19-q10-T3-Rs76_60-R-A01	P1-c16-S19-q10-T3-Rs76_60-R-A02	P1-c16-S19-q10-T3-Rs76_60-R-A03
102	P1-c16-S19-q11-T3-Rs80_60-T	16	fold-2-S19	fold	2	std	S19	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c16-S19-q11-T3-Rs80_60-T-A01	P1-c16-S19-q11-T3-Rs80_60-T-A02	P1-c16-S19-q11-T3-Rs80_60-T-A03
103	P1-c17-S20-q00-T0-Rs72_60-T	17	fold-3-S20	fold	3	std	S20	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c17-S20-q00-T0-Rs72_60-T-A01	P1-c17-S20-q00-T0-Rs72_60-T-A02	P1-c17-S20-q00-T0-Rs72_60-T-A03
104	P1-c17-S20-q01-T0-Rs76_60-R	17	fold-3-S20	fold	3	std	S20	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c17-S20-q01-T0-Rs76_60-R-A01	P1-c17-S20-q01-T0-Rs76_60-R-A02	P1-c17-S20-q01-T0-Rs76_60-R-A03
105	P1-c17-S20-q02-T0-Rs80_60-T	17	fold-3-S20	fold	3	std	S20	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c17-S20-q02-T0-Rs80_60-T-A01	P1-c17-S20-q02-T0-Rs80_60-T-A02	P1-c17-S20-q02-T0-Rs80_60-T-A03
106	P1-c17-S20-q09-T3-Rs72_60-R	17	fold-3-S20	fold	3	std	S20	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c17-S20-q09-T3-Rs72_60-R-A01	P1-c17-S20-q09-T3-Rs72_60-R-A02	P1-c17-S20-q09-T3-Rs72_60-R-A03
107	P1-c17-S20-q10-T3-Rs76_60-T	17	fold-3-S20	fold	3	std	S20	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c17-S20-q10-T3-Rs76_60-T-A01	P1-c17-S20-q10-T3-Rs76_60-T-A02	P1-c17-S20-q10-T3-Rs76_60-T-A03
108	P1-c17-S20-q11-T3-Rs80_60-R	17	fold-3-S20	fold	3	std	S20	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c17-S20-q11-T3-Rs80_60-R-A01	P1-c17-S20-q11-T3-Rs80_60-R-A02	P1-c17-S20-q11-T3-Rs80_60-R-A03
109	P1-c18-S26-q00-T0-Rs72_60-R	18	locate-0-S26	locate	0	std	S26	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c18-S26-q00-T0-Rs72_60-R-A01	P1-c18-S26-q00-T0-Rs72_60-R-A02	P1-c18-S26-q00-T0-Rs72_60-R-A03
110	P1-c18-S26-q01-T0-Rs76_60-T	18	locate-0-S26	locate	0	std	S26	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c18-S26-q01-T0-Rs76_60-T-A01	P1-c18-S26-q01-T0-Rs76_60-T-A02	P1-c18-S26-q01-T0-Rs76_60-T-A03
111	P1-c18-S26-q02-T0-Rs80_60-R	18	locate-0-S26	locate	0	std	S26	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c18-S26-q02-T0-Rs80_60-R-A01	P1-c18-S26-q02-T0-Rs80_60-R-A02	P1-c18-S26-q02-T0-Rs80_60-R-A03
112	P1-c18-S26-q09-T3-Rs72_60-T	18	locate-0-S26	locate	0	std	S26	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c18-S26-q09-T3-Rs72_60-T-A01	P1-c18-S26-q09-T3-Rs72_60-T-A02	P1-c18-S26-q09-T3-Rs72_60-T-A03
113	P1-c18-S26-q10-T3-Rs76_60-R	18	locate-0-S26	locate	0	std	S26	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c18-S26-q10-T3-Rs76_60-R-A01	P1-c18-S26-q10-T3-Rs76_60-R-A02	P1-c18-S26-q10-T3-Rs76_60-R-A03
114	P1-c18-S26-q11-T3-Rs80_60-T	18	locate-0-S26	locate	0	std	S26	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c18-S26-q11-T3-Rs80_60-T-A01	P1-c18-S26-q11-T3-Rs80_60-T-A02	P1-c18-S26-q11-T3-Rs80_60-T-A03
115	P1-c19-S27-q00-T0-Rs72_60-T	19	locate-1-S27	locate	1	std	S27	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c19-S27-q00-T0-Rs72_60-T-A01	P1-c19-S27-q00-T0-Rs72_60-T-A02	P1-c19-S27-q00-T0-Rs72_60-T-A03
116	P1-c19-S27-q01-T0-Rs76_60-R	19	locate-1-S27	locate	1	std	S27	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c19-S27-q01-T0-Rs76_60-R-A01	P1-c19-S27-q01-T0-Rs76_60-R-A02	P1-c19-S27-q01-T0-Rs76_60-R-A03
117	P1-c19-S27-q02-T0-Rs80_60-T	19	locate-1-S27	locate	1	std	S27	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c19-S27-q02-T0-Rs80_60-T-A01	P1-c19-S27-q02-T0-Rs80_60-T-A02	P1-c19-S27-q02-T0-Rs80_60-T-A03
118	P1-c19-S27-q09-T3-Rs72_60-R	19	locate-1-S27	locate	1	std	S27	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c19-S27-q09-T3-Rs72_60-R-A01	P1-c19-S27-q09-T3-Rs72_60-R-A02	P1-c19-S27-q09-T3-Rs72_60-R-A03
119	P1-c19-S27-q10-T3-Rs76_60-T	19	locate-1-S27	locate	1	std	S27	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c19-S27-q10-T3-Rs76_60-T-A01	P1-c19-S27-q10-T3-Rs76_60-T-A02	P1-c19-S27-q10-T3-Rs76_60-T-A03
120	P1-c19-S27-q11-T3-Rs80_60-R	19	locate-1-S27	locate	1	std	S27	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c19-S27-q11-T3-Rs80_60-R-A01	P1-c19-S27-q11-T3-Rs80_60-R-A02	P1-c19-S27-q11-T3-Rs80_60-R-A03
121	P1-c20-S15-q00-T0-Rs72_60-R	20	scratch-1-S15	scratch	1	std	S15	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c20-S15-q00-T0-Rs72_60-R-A01	P1-c20-S15-q00-T0-Rs72_60-R-A02	P1-c20-S15-q00-T0-Rs72_60-R-A03
122	P1-c20-S15-q01-T0-Rs76_60-T	20	scratch-1-S15	scratch	1	std	S15	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c20-S15-q01-T0-Rs76_60-T-A01	P1-c20-S15-q01-T0-Rs76_60-T-A02	P1-c20-S15-q01-T0-Rs76_60-T-A03
123	P1-c20-S15-q02-T0-Rs80_60-R	20	scratch-1-S15	scratch	1	std	S15	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c20-S15-q02-T0-Rs80_60-R-A01	P1-c20-S15-q02-T0-Rs80_60-R-A02	P1-c20-S15-q02-T0-Rs80_60-R-A03
124	P1-c20-S15-q09-T3-Rs72_60-T	20	scratch-1-S15	scratch	1	std	S15	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c20-S15-q09-T3-Rs72_60-T-A01	P1-c20-S15-q09-T3-Rs72_60-T-A02	P1-c20-S15-q09-T3-Rs72_60-T-A03
125	P1-c20-S15-q10-T3-Rs76_60-R	20	scratch-1-S15	scratch	1	std	S15	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c20-S15-q10-T3-Rs76_60-R-A01	P1-c20-S15-q10-T3-Rs76_60-R-A02	P1-c20-S15-q10-T3-Rs76_60-R-A03
126	P1-c20-S15-q11-T3-Rs80_60-T	20	scratch-1-S15	scratch	1	std	S15	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c20-S15-q11-T3-Rs80_60-T-A01	P1-c20-S15-q11-T3-Rs80_60-T-A02	P1-c20-S15-q11-T3-Rs80_60-T-A03
127	P1-c21-S16-q00-T0-Rs72_60-T	21	scratch-2-S16	scratch	2	std	S16	00	T0-Rs72_60	T0	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-travel.pdf	2473c54f38538eb92a1074dac5ac04272f29c2b36163851e6178c06ccd4cad75	P1-c21-S16-q00-T0-Rs72_60-T-A01	P1-c21-S16-q00-T0-Rs72_60-T-A02	P1-c21-S16-q00-T0-Rs72_60-T-A03
128	P1-c21-S16-q01-T0-Rs76_60-R	21	scratch-2-S16	scratch	2	std	S16	01	T0-Rs76_60	T0	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-recipe.pdf	6bf0980b521d6acc1053c97215c781487ce71e2f96363d63215b8e31dd11e3d7	P1-c21-S16-q01-T0-Rs76_60-R-A01	P1-c21-S16-q01-T0-Rs76_60-R-A02	P1-c21-S16-q01-T0-Rs76_60-R-A03
129	P1-c21-S16-q02-T0-Rs80_60-T	21	scratch-2-S16	scratch	2	std	S16	02	T0-Rs80_60	T0	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-travel.pdf	5bee4160140ddedd3f2bff2ac79aa17c79a151325a5bba9d6bb32180ea9ffd0a	P1-c21-S16-q02-T0-Rs80_60-T-A01	P1-c21-S16-q02-T0-Rs80_60-T-A02	P1-c21-S16-q02-T0-Rs80_60-T-A03
130	P1-c21-S16-q09-T3-Rs72_60-R	21	scratch-2-S16	scratch	2	std	S16	09	T3-Rs72_60	T3	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-recipe.pdf	6f8502b2ecd69a8fc3d6bac2ea6edfd1b1fceb43ba5f086698083fc56239959b	P1-c21-S16-q09-T3-Rs72_60-R-A01	P1-c21-S16-q09-T3-Rs72_60-R-A02	P1-c21-S16-q09-T3-Rs72_60-R-A03
131	P1-c21-S16-q10-T3-Rs76_60-T	21	scratch-2-S16	scratch	2	std	S16	10	T3-Rs76_60	T3	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-travel.pdf	3333208350f39a53f51d20d4d334b92cb03825f9cd8b7a48865518ea6c3ea993	P1-c21-S16-q10-T3-Rs76_60-T-A01	P1-c21-S16-q10-T3-Rs76_60-T-A02	P1-c21-S16-q10-T3-Rs76_60-T-A03
132	P1-c21-S16-q11-T3-Rs80_60-R	21	scratch-2-S16	scratch	2	std	S16	11	T3-Rs80_60	T3	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-recipe.pdf	0376cf6b06a9dad165fcc3f84c4bc1f19c7867dc4460707a79a7a4b535338ea5	P1-c21-S16-q11-T3-Rs80_60-R-A01	P1-c21-S16-q11-T3-Rs80_60-R-A02	P1-c21-S16-q11-T3-Rs80_60-R-A03
133	P1-c22-S17-q00-T0-Rs72_60-R	22	scratch-3-S17	scratch	3	std	S17	00	T0-Rs72_60	T0	RS(72,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q00-T0-Rs72_60-recipe.pdf	188aad99a17795470f03bd936102c592b620377e9c26a070a9423d1fc6512a85	P1-c22-S17-q00-T0-Rs72_60-R-A01	P1-c22-S17-q00-T0-Rs72_60-R-A02	P1-c22-S17-q00-T0-Rs72_60-R-A03
134	P1-c22-S17-q01-T0-Rs76_60-T	22	scratch-3-S17	scratch	3	std	S17	01	T0-Rs76_60	T0	RS(76,60)	travel	artifacts/cloakvault/m19/phase1/masters/q01-T0-Rs76_60-travel.pdf	b72dc6d498a13f3aa19b0f769005fa0a788d18432ea4a481003c58c0419cec97	P1-c22-S17-q01-T0-Rs76_60-T-A01	P1-c22-S17-q01-T0-Rs76_60-T-A02	P1-c22-S17-q01-T0-Rs76_60-T-A03
135	P1-c22-S17-q02-T0-Rs80_60-R	22	scratch-3-S17	scratch	3	std	S17	02	T0-Rs80_60	T0	RS(80,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q02-T0-Rs80_60-recipe.pdf	3a91074da75e06c9058cb528fce1b33f92205f4cc3250e9df4601c4ee2eb91c6	P1-c22-S17-q02-T0-Rs80_60-R-A01	P1-c22-S17-q02-T0-Rs80_60-R-A02	P1-c22-S17-q02-T0-Rs80_60-R-A03
136	P1-c22-S17-q09-T3-Rs72_60-T	22	scratch-3-S17	scratch	3	std	S17	09	T3-Rs72_60	T3	RS(72,60)	travel	artifacts/cloakvault/m19/phase1/masters/q09-T3-Rs72_60-travel.pdf	d27bf7cdb76852815cff2c019dd1f6b5b3042a161179bb6a715b39bfc40d3e61	P1-c22-S17-q09-T3-Rs72_60-T-A01	P1-c22-S17-q09-T3-Rs72_60-T-A02	P1-c22-S17-q09-T3-Rs72_60-T-A03
137	P1-c22-S17-q10-T3-Rs76_60-R	22	scratch-3-S17	scratch	3	std	S17	10	T3-Rs76_60	T3	RS(76,60)	recipe	artifacts/cloakvault/m19/phase1/masters/q10-T3-Rs76_60-recipe.pdf	e3f7fe2391c0860ae1f9b233dc56ef438d643e85234a3ff6c41d79f5d0060fe3	P1-c22-S17-q10-T3-Rs76_60-R-A01	P1-c22-S17-q10-T3-Rs76_60-R-A02	P1-c22-S17-q10-T3-Rs76_60-R-A03
138	P1-c22-S17-q11-T3-Rs80_60-T	22	scratch-3-S17	scratch	3	std	S17	11	T3-Rs80_60	T3	RS(80,60)	travel	artifacts/cloakvault/m19/phase1/masters/q11-T3-Rs80_60-travel.pdf	82f2ce1789c4b0eda75a89a890e2f7aeb30e47a0b1ebb037e1902707ce5d8e2c	P1-c22-S17-q11-T3-Rs80_60-T-A01	P1-c22-S17-q11-T3-Rs80_60-T-A02	P1-c22-S17-q11-T3-Rs80_60-T-A03
